tier,Basic,Gold,Platinum,Silver
1,0,0,0,0
2,34152.93,0,0,0
3,66985.47,0,0,0
4,81745.25,0,0,0
5,92786.69,0,0,0
6,101844.29,0,0,0
7,110141.84,0,0,0
8,118805.36,0,0,0
9,125293.19,0,0,0
10,132299.46,0,0,0
11,138827.16,0,0,0
12,145499.93,0,0,0
13,151641.82,0,0,0
14,158413.21,0,0,0
15,164503.95,0,0,0
16,171205.83,0,0,0
17,178478.97,0,0,0
18,184222,0,0,0
19,190816.29,0,0,0
20,198072.7,0,0,0
21,203793.92,0,0,0
22,210657.15,0,0,0
23,217578.39,0,0,0
24,224854.76,0,0,0
25,231572.91,0,0,0
26,239647.9,0,0,0
27,246314.23,0,0,0
28,252979.72,0,0,0
29,260303.21,0,0,0
30,268692.11,0,0,0
31,276666.69,0,0,0
32,284123.49,0,0,0
33,292340.02,0,0,0
34,300519.6,0,0,0
35,308446.48,0,0,0
36,318065.34,0,0,0
37,325865.85,0,0,0
38,335095.79,0,0,0
39,344576.06,0,0,0
40,353682.7,0,0,0
41,362953.18,0,0,0
42,372944.74,0,0,0
43,383323.21,0,0,0
44,394377.86,0,0,0
45,404580.25,0,0,0
46,415893.48,0,0,0
47,426571.89,0,0,0
48,438712.37,0,0,0
49,450682.42,0,0,0
50,462577.4,0,0,0
51,475632.8,0,0,0
52,487824.44,0,0,0
53,500841.84,0,0,0
54,514878.6,0,0,0
55,529029.87,0,0,0
56,543552.04,0,0,0
57,558051.12,0,0,0
58,572924.56,0,0,0
59,589928.25,0,0,0
60,604080.39,0,0,2548.74
61,394282.54,0,0,230251.73
62,403293.17,0,0,239138.61
63,395222.49,0,0,266025.29
64,378119.15,0,0,303338.07
65,384518.36,0,0,318203.66
66,384820.57,0,0,339451.94
67,351413.96,0,0,395834.02
68,366209.31,0,0,404907.7
69,369446.48,0,0,425749.99
70,329318.81,0,0,491886.49
71,354280.51,0,0,494006.06
72,339635.34,0,0,536487.33
73,327531.53,0,0,577960.51
74,325796.49,0,0,611597.93
75,304241.75,0,0,666730.67
76,312490.2,0,0,694231.44
77,295395.95,0,0,748631.37
78,284311.67,0,0,799745.17
79,270907.19,0,0,855602.68
80,254917.62,0,0,916126.73
81,240394.65,0,0,979189.08
82,225922.56,0,0,1046394.06
83,219811.58,0,0,1108860.39
84,193498.84,0,0,1196439.79
85,164340.52,0,0,1294406.5
86,156845.09,0,0,1375930.81
87,145240.06,0,0,1468473.9
88,115815.49,0,0,1587457.12
89,111542.78,0,0,1691172.28
90,81711.92,707019.1,0,1129627.78
91,79406.94,1732982.33,0,231538.77
92,68260.87,1887144.69,0,228353.07
93,51513.85,2118592.87,0,181392.64
94,30282.35,2366757.07,0,150203.65
95,17880.1,2640918.77,0,121491.68
96,19776.78,2957520.2,0,96292.75
97,8035.73,1899911.87,1469269.88,66824.95
98,13395.63,106830.59,3815870.18,43638.67
99,7342.88,79712.08,4756885.9,27652.23
100,9716.38,50019.99,7179983.92,22565.21
